question,answer,enhanced_prompt,enhanced_completion,chart_type,difficulty,id,notes,original_image,source,split,task_type,verified
Which commodity in the non-energy commodity section showed the most intense above-average pricing by May 2026?,UK primary aluminum,,"Based on the ""Non-energy commodity prices"" section of the chart, **UK primary aluminum** showed the most intense above-average pricing by May 2026. This is indicated by the darkest red shading in its row during that period, reflecting the highest deviation above the average compared to other commodities in the category.",mixed,hard,hs_0011__q2,hardset; BoC; charts9.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0011.png,hardset,train,max_min,true
"In panel (b), what percentage of euro area banks' assets is Non-EU exposure?",25%,,"In panel (b) of Chart 4, the pie chart shows the **total non-EU exposure of euro area banks by region** as a percentage of total assets (Q4 2025).

The largest segment is labeled:

> **Non-EU: 79%**

This means that **79% of euro area banks’ total assets are exposed to non-EU regions**.

The remaining 21% is implicitly EU exposure (though not explicitly labeled in the pie chart — it’s implied since the chart title is “Total non-EU exposure...”, and the sum of all segments shown equals 79%).

---

✅ **Answer: 79%**",mixed,medium,hs_0016__q1,hardset; ECB; charts14.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0016.png,hardset,train,lookup_value,true
Would Manufacturing and Healthcare combined exceed Automotive's revenue?,Yes,,"Let’s calculate:

- **Manufacturing revenue**: $6,300  
- **Healthcare revenue**: $4,300  
→ Combined = $6,300 + $4,300 = **$10,600**

- **Automotive revenue**: $5,900

Now compare:  
**$10,600 > $5,900**

✅ Yes, **Manufacturing and Healthcare combined ($10,600) exceed Automotive’s revenue ($5,900)** — by a significant margin.

---

**Answer: Yes**",bar,hard,syn_bar_0112__q5,"annotated bars; procedural gen (seed=42, idx=12)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0112.png,synthetic,train,hard_multi_step,true
Do people spend more time on Household activities than on Working and work-related activities?,No,,"Looking at the bar chart titled **“Average hours per day spent in selected activities by sex and day, 2025 annual averages”**, we focus on the **“Average per day, total”** (dark blue bars) for the two activities in question:

- **Household activities**: The dark blue bar extends to approximately **2.0 hours**.
- **Working and work-related activities**: The dark blue bar extends to approximately **3.0 hours**.

### Conclusion:
No, people do **not** spend more time on *Household activities* than on *Working and work-related activities*. On average, they spend about **1 hour less per day** on household activities compared to working and work-related activities.

✅ **Answer: No**",bar,medium,hs_0033__q3,hardset; BLS; charts34.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0033.png,hardset,train,compare_categories,true
"In panel (b), was Middle East exposure the smallest of the non-EU regions shown?",Yes,,"Yes, in panel (b) of Chart 4, **Middle East exposure was the smallest** among the non-EU regions shown.

Panel (b) is a pie chart titled “Total non-EU exposure of euro area banks, by region” (Q4 2025, percentages of total assets). The segments are:

- **EU**: 75% (not a non-EU region — this is the domestic exposure)
- **Non-EU**: 25% (this is the total non-EU exposure, broken down further)

Within the non-EU portion (25%), the breakdown is:

- **United States**: 8.5%
- **United Kingdom**: 5.8%
- **Other advanced economies**: 5.5%
- **Other emerging market economies**: 4.5%
- **Middle East**: **0.6%**

Since 0.6% is clearly the smallest slice among the listed non-EU regions, **yes — Middle East exposure was the smallest**.

---

✅ **Answer: Yes**",mixed,medium,hs_0016__q3,hardset; ECB; charts14.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0016.png,hardset,train,compare_categories,true
Which team made the most revenue?,Alpha,,"Looking at the bar chart titled **“Q3 Revenue by Team”**, we can compare the revenue values for each team:

- **Epsilon**: $7,100  
- **Theta**: $1,700  
- **Beta**: $1,600  
- **Alpha**: **$8,200**

The tallest bar corresponds to **Alpha**, with a revenue of **$8,200**, which is higher than all other teams.

✅ **Answer: Alpha** made the most revenue in Q3.",bar,easy,syn_bar_0157__q2,"annotated bars; procedural gen (seed=42, idx=57)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0157.png,synthetic,train,max_min,true
How much revenue was recorded in May?,$8200,,"Based on the line chart titled **""Revenue by Month — H1 2024""**, the revenue recorded in **May** is clearly labeled on the graph.

Looking at the data point for **May**, the value shown is:

> **$8200**

---

✅ **Answer: $8200**",line,easy,syn_line_0100__q1,"annotated line; procedural gen (seed=43, idx=0, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0100.png,synthetic,train,lookup_value,true
What percentage of budget came from Marketing?,24.6%,,"Based on the provided pie chart titled ""Budget by Department"", we can identify the percentage allocated to each department.

The slice representing **Marketing** is colored purple and has the value **24.6%** written inside it.

---

Therefore, **24.6%** of the budget came from Marketing.",pie,easy,syn_pie_0109__q1,"annotated pie; procedural gen (seed=46, idx=9)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0109.png,synthetic,train,lookup_value,true
What was the revenue difference between Direct and Wholesale?,$1800,,"From the bar chart:

- **Direct** revenue = **$14,500**
- **Wholesale** revenue = **$12,700**

To find the difference:

**$14,500 - $12,700 = $1,800**

✅ The revenue difference between Direct and Wholesale is **$1,800**.",bar,medium,syn_bar_0131__q3,"annotated bars; procedural gen (seed=42, idx=31)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0131.png,synthetic,train,delta_absolute,true
By what percent did revenue change from Q1 to Q4?,-19.5%,,"To calculate the **percent change** in revenue from Q1 to Q4, we use the formula:

\[
\text{Percent Change} = \left( \frac{\text{New Value} - \text{Old Value}}{\text{Old Value}} \right) \times 100
\]

From the chart:
- Q1 Revenue = **$43,600**
- Q4 Revenue = **$35,100**

Plug into the formula:

\[
\text{Percent Change} = \left( \frac{35100 - 43600}{43600} \right) \times 100
= \left( \frac{-8500}{43600} \right) \times 100
\approx -19.495\%
\]

Rounded to one decimal place:

\[
\boxed{-19.5\%}
\]

---

✅ **Answer: Revenue decreased by approximately 19.5% from Q1 to Q4.**",line,medium,syn_line_0133__q4,"annotated line; procedural gen (seed=43, idx=33, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0133.png,synthetic,train,percent_change_ratio,true
Hardware revenue for EMEA?,$1400,,"Looking at the stacked bar chart for **EMEA**:

- The total revenue is broken down into three segments:
  - **Software (blue)**: $3300
  - **Services (orange)**: $3500
  - **Hardware (green)**: **$1400**

The green segment, labeled “Hardware”, clearly shows **$1400** for EMEA.

✅ **Answer: $1400**",stacked_bar,medium,syn_stacked_0153__q1,"annotated stacked bars; procedural gen (seed=45, idx=53)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0153.png,synthetic,train,lookup_value,true
By what percent did revenue change from Q2 to Q4?,-15.5%,,"To calculate the **percent change** in revenue from Q2 to Q4, we use the formula:

\[
\text{Percent Change} = \left( \frac{\text{New Value} - \text{Old Value}}{\text{Old Value}} \right) \times 100\%
\]

From the chart:
- Q2 Revenue = **$24,500**
- Q4 Revenue = **$20,700**

Plug into the formula:

\[
\text{Percent Change} = \left( \frac{20700 - 24500}{24500} \right) \times 100\% = \left( \frac{-3800}{24500} \right) \times 100\%
\]

\[
= -0.1551 \times 100\% \approx -15.51\%
\]

---

✅ **Final Answer: Revenue decreased by approximately 15.51% from Q2 to Q4.**",line,medium,syn_line_0109__q4,"annotated line; procedural gen (seed=43, idx=9, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0109.png,synthetic,train,percent_change_ratio,true
"For SMB, which year had higher revenue, 2023 or 2024?",2024,,"Looking at the bar chart for the **SMB** segment:

- **2023 revenue**: $5,200 (blue bar)
- **2024 revenue**: $5,500 (orange bar)

Since **$5,500 > $5,200**, **2024** had higher revenue for the SMB segment.

✅ **Answer: 2024**",grouped_bar,medium,syn_grouped_0104__q3,"annotated grouped bars; procedural gen (seed=44, idx=4)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0104.png,synthetic,train,multi_series_compare,true
What percentage of spend came from SEO?,28.0%,,"Based on the provided pie chart titled **""Marketing Spend by Channel""**, the percentage of spend that came from **SEO** is:

> **28.0%**

This is clearly labeled in the blue segment of the pie chart.

---

✅ **Answer: 28.0%**",pie,easy,syn_pie_0100__q1,"annotated pie; procedural gen (seed=46, idx=0)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0100.png,synthetic,train,lookup_value,true
What was the unit sales difference between SKU-105 and SKU-102?,530,,"To find the unit sales difference between **SKU-105** and **SKU-102**, subtract the units sold for SKU-102 from those sold for SKU-105:

- **SKU-105**: 1250 units  
- **SKU-102**: 720 units  

**Difference = 1250 - 720 = 530**

✅ **Answer: 530**",bar,medium,syn_bar_0006__q3,annotated bars; correct-by-construction,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0006.png,synthetic,train,delta_absolute,true
Was Manufacturing's revenue higher in Q1 or Q2?,Q2,,"Looking at the bar chart for **Manufacturing**:

- **Q1 revenue (blue bar)**: $4,600  
- **Q2 revenue (orange bar)**: $7,800  

Since $7,800 > $4,600, **Manufacturing’s revenue was higher in Q2**.

✅ **Answer: Q2**",grouped_bar,medium,syn_grouped_0222__q3,"annotated grouped bars; procedural gen (seed=44, idx=122)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0222.png,synthetic,train,multi_series_compare,true
How much total revenue did NA generate?,$7000,,"To calculate the **total revenue for NA (North America)**, we sum the revenues from all three product tiers shown in the stacked bar for NA:

- **Basic**: $3200  
- **Pro**: $1800  
- **Premium**: $2000  

**Total = 3200 + 1800 + 2000 = $7000**

✅ **Answer: $7000**",stacked_bar,medium,syn_stacked_0111__q3,"annotated stacked bars; procedural gen (seed=45, idx=11)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0111.png,synthetic,train,aggregation_sum_avg,true
"For Nonprofit, which year had higher revenue, 2024 or 2025?",2025,,"Looking at the bar chart for the **Nonprofit** segment:

- The **blue bar (2024)** shows revenue of **$2,200**
- The **orange bar (2025)** shows revenue of **$9,300**

Since $9,300 > $2,200, **2025** had higher revenue for the Nonprofit segment.

✅ **Answer: 2025**",grouped_bar,medium,syn_grouped_0164__q3,"annotated grouped bars; procedural gen (seed=44, idx=64)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_grouped_0164.png,synthetic,train,multi_series_compare,true
Did Email have a bigger share of spend than SEO?,Yes,,"Yes, **Email had a bigger share of spend than SEO**.

From the pie chart:

- **Email**: 41.0%
- **SEO**: 32.0%

Since 41.0% > 32.0%, Email’s share is larger than SEO’s.

✅ **Answer: Yes**",pie,medium,syn_pie_0140__q3,"annotated pie; procedural gen (seed=46, idx=40)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0140.png,synthetic,train,compare_categories,true
By what percent did revenue change from Q2 to Q4?,-2.8%,,"To calculate the **percent change** in revenue from **Q2 to Q4**, we use the formula:

> **Percent Change = [(New Value - Old Value) / Old Value] × 100%**

From the chart:
- **Q2 Revenue = $39,100**
- **Q4 Revenue = $38,000**

So,

> Percent Change = [($38,000 - $39,100) / $39,100] × 100%  
> = [(-$1,100) / $39,100] × 100%  
> ≈ **-2.813%**

---

✅ **Final Answer: Approximately -2.81%** (a decrease of about 2.81%)",line,medium,syn_line_0121__q4,"annotated line; procedural gen (seed=43, idx=21, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0121.png,synthetic,train,percent_change_ratio,true
List the bottom 3 products by units sold.,"Widget C, Widget A, Gizmo X",,"Looking at the bar chart “Q3 Units Sold by Product”, we can list the products and their units sold:

- Widget D: 7500
- Widget A: 4400
- Widget B: 7900
- Gizmo X: 4600
- Widget C: 2400

Now, sorting them from lowest to highest units sold:

1. **Widget C**: 2400  
2. **Widget A**: 4400  
3. **Gizmo X**: 4600  

*(Note: Widget D and Widget B are higher — 7500 and 7900 respectively — so they are not in the bottom 3.)*

✅ **Bottom 3 products by units sold:**

1. Widget C (2400)  
2. Widget A (4400)  
3. Gizmo X (4600)",bar,medium,syn_bar_0182__q4,"annotated bars; procedural gen (seed=42, idx=82)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0182.png,synthetic,train,rank_order,true
How much more revenue did Nonprofit generate than Startup?,$1300,,"From the bar chart:

- **Nonprofit** revenue = **$4,100**
- **Startup** revenue = **$2,800**

To find how much more revenue Nonprofit generated than Startup:

**$4,100 - $2,800 = $1,300**

✅ **Answer: $1,300**",bar,medium,syn_bar_0156__q3,"annotated bars; procedural gen (seed=42, idx=56)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0156.png,synthetic,train,delta_absolute,true
How many signups were there in W8?,1100,,"Based on the line chart titled **""Signups by Week — Q1""**, we can determine the number of signups for each week by looking at the data points.

For **W8** (Week 8), the data point is labeled with the value:

> **1100**

---

✅ Therefore, the number of signups in W8 was **1100**.",line,easy,syn_line_0103__q1,"annotated line; procedural gen (seed=43, idx=3, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0103.png,synthetic,train,lookup_value,true
By what percent did signups change from W3 to W8?,-38.5%,,"To calculate the **percent change** in signups from **W3 to W8**, we use the formula:

> **Percent Change = [(New Value - Old Value) / Old Value] × 100%**

From the chart:
- **W3 signups = 1300**
- **W8 signups = 800**

Plug into the formula:

> Percent Change = [(800 - 1300) / 1300] × 100%  
> = [(-500) / 1300] × 100%  
> ≈ **-38.46%**

---

✅ **Answer: Signups decreased by approximately 38.46% from W3 to W8.**",line,medium,syn_line_0155__q4,"annotated line; procedural gen (seed=43, idx=55, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0155.png,synthetic,train,percent_change_ratio,true
By how much does Beta's revenue exceed Epsilon's?,$4900,,"From the bar chart:

- **Beta's revenue** = **$9,600**
- **Epsilon's revenue** = **$4,700**

To find how much Beta’s revenue exceeds Epsilon’s:

**$9,600 - $4,700 = $4,900**

✅ **Answer: $4,900**",bar,medium,syn_bar_0199__q3,"annotated bars; procedural gen (seed=42, idx=99)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0199.png,synthetic,train,delta_absolute,true
What was the total revenue for Enterprise?,$6500,,"To calculate the **total revenue for Enterprise**, we sum the revenues from all three tiers (Basic, Pro, Premium) as shown in the stacked bar for ""Enterprise"":

- **Basic (blue)**: $2100  
- **Pro (orange)**: $2900  
- **Premium (green)**: $1500  

**Total = 2100 + 2900 + 1500 = $6500**

✅ **Answer: $6500**",stacked_bar,medium,syn_stacked_0169__q3,"annotated stacked bars; procedural gen (seed=45, idx=69)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0169.png,synthetic,train,aggregation_sum_avg,true
Services revenue for NA?,$900,,"From the stacked bar chart titled **“Regional Revenue by Product”**, we can see that for the **NA (North America)** region:

- The **Services** revenue is represented by the **orange** segment.
- The value labeled on that orange segment is **$900**.

---

✅ **Answer: $900**",stacked_bar,medium,syn_stacked_0180__q1,"annotated stacked bars; procedural gen (seed=45, idx=80)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0180.png,synthetic,train,lookup_value,true
What was the percentage change in users between Oct and Dec?,2.1%,,"To calculate the **percentage change** in active users between **October** and **December**, we use the formula:

> **Percentage Change = [(New Value - Old Value) / Old Value] × 100%**

From the chart:

- **October (Old Value)** = 28,500
- **December (New Value)** = 29,100

Now plug into the formula:

> **[(29,100 - 28,500) / 28,500] × 100%**  
> = [600 / 28,500] × 100%  
> ≈ **2.105%**

---

✅ **Final Answer: Approximately 2.11%** (rounded to two decimal places)",line,medium,syn_line_0154__q4,"annotated line; procedural gen (seed=43, idx=54, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0154.png,synthetic,train,percent_change_ratio,true
Paid's share of total traffic?,21.2%,,"From the pie chart titled **“Traffic by Source”**, the segment labeled **“Paid”** shows a value of **21.2%**.

✅ Therefore, **Paid’s share of total traffic is 21.2%**.",pie,easy,syn_pie_0153__q1,"annotated pie; procedural gen (seed=46, idx=53)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0153.png,synthetic,train,lookup_value,true
Was APAC's revenue share greater than MEA's?,Yes,,"Yes, **APAC's revenue share was greater than MEA's**.

From the pie chart:

- **APAC**: 25.4%
- **MEA**: 22.4%

Since **25.4% > 22.4%**, APAC had a larger revenue share than MEA.

✅ **Answer: Yes**",pie,medium,syn_pie_0117__q3,"annotated pie; procedural gen (seed=46, idx=17)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0117.png,synthetic,train,compare_categories,true
What was Q3's total revenue?,$7100,,"To calculate **Q3's total revenue**, we sum the values of all three channels (Direct, Partner, Marketplace) for Q3 as shown in the stacked bar:

- **Direct**: $1600  
- **Partner**: $2200  
- **Marketplace**: $3300  

**Total = 1600 + 2200 + 3300 = $7100**

✅ **Answer: $7100**",stacked_bar,medium,syn_stacked_0110__q3,"annotated stacked bars; procedural gen (seed=45, idx=10)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0110.png,synthetic,train,aggregation_sum_avg,true
By what percent did users change from Apr to Jun?,-27.7%,,"To calculate the **percent change** in active users from **April to June**, we use the formula:

\[
\text{Percent Change} = \left( \frac{\text{New Value} - \text{Old Value}}{\text{Old Value}} \right) \times 100
\]

From the chart:

- **April (Old Value)** = 22,000
- **June (New Value)** = 15,900

Plug into the formula:

\[
\text{Percent Change} = \left( \frac{15900 - 22000}{22000} \right) \times 100 = \left( \frac{-6100}{22000} \right) \times 100
\]

\[
= -0.27727... \times 100 \approx -27.73\%
\]

---

✅ **Final Answer: Approximately -27.73%**

This means active users **decreased by about 27.73%** from April to June.",line,medium,syn_line_0198__q4,"annotated line; procedural gen (seed=43, idx=98, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0198.png,synthetic,train,percent_change_ratio,true
By what percent did revenue change from Mar to May?,6.1%,,"To calculate the **percent change in revenue from March to May**, we use the formula:

\[
\text{Percent Change} = \left( \frac{\text{New Value} - \text{Old Value}}{\text{Old Value}} \right) \times 100
\]

From the chart:

- **March revenue** = $6600  
- **May revenue** = $7000

Plug into the formula:

\[
\text{Percent Change} = \left( \frac{7000 - 6600}{6600} \right) \times 100 = \left( \frac{400}{6600} \right) \times 100
\]

\[
= 0.060606... \times 100 \approx 6.06\%
\]

---

✅ **Final Answer: Approximately 6.06%**",line,medium,syn_line_0200__q4,"annotated line; procedural gen (seed=43, idx=100, trend=flat)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0200.png,synthetic,train,percent_change_ratio,true
Was Subscriptions' share of sales larger than Hardware's?,No,,"No, **Subscriptions’ share of sales was not larger than Hardware’s**.

From the pie chart:

- **Hardware**: 27.8%
- **Subscriptions**: 21.0%

Since 21.0% < 27.8%, **Hardware had a larger share** of sales than Subscriptions.

✅ Final Answer: **No**",donut,medium,syn_donut_0117__q3,"annotated donut; procedural gen (seed=46, idx=111)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0117.png,synthetic,train,compare_categories,true
Did Social have a bigger share of traffic than Organic?,Yes,,"Yes, **Social** had a bigger share of traffic than **Organic**.

From the donut chart:

- **Social**: 15.2%
- **Organic**: 9.3%

Since 15.2% > 9.3%, Social contributed more traffic than Organic.

✅ **Answer: Yes**",donut,medium,syn_donut_0124__q3,"annotated donut; procedural gen (seed=46, idx=118)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_donut_0124.png,synthetic,train,compare_categories,true
How much revenue did Beta generate?,$9600,,"Based on the bar chart titled **""Monthly Revenue by Team""**, the revenue generated by **Beta** is clearly labeled above its corresponding bar.

The value shown for Beta is **$9600**.

---

✅ **Answer: $9600**",bar,easy,syn_bar_0199__q1,"annotated bars; procedural gen (seed=42, idx=99)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0199.png,synthetic,train,lookup_value,true
What was the revenue in Feb?,$8100,,"Based on the provided line chart titled ""Revenue by Month — H1 2024"", we can determine the revenue for February.

- The horizontal axis (x-axis) represents the months from January to June.
- The vertical axis (y-axis) represents the Revenue in dollars ($).
- By locating ""Feb"" on the x-axis and following it up to the data point on the line, we can see the corresponding value.

The chart explicitly labels the revenue for each month. For February, the label above the data point indicates the revenue amount.

The revenue in Feb was **$8100**.",line,easy,syn_line_0168__q1,"annotated line; procedural gen (seed=43, idx=68, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0168.png,synthetic,train,lookup_value,true
"In panel (b), which distribution has the highest peak density?",HICP inflation Feb. forecast,,"Looking at **panel (b)** of Chart 1, which shows the **distribution of 2026 HICP inflation and real GDP growth forecasts for the euro area**, we are comparing four probability density curves:

- **HICP inflation Feb. forecast** (light blue, solid line)
- **HICP inflation May forecast** (dark blue, dashed line)
- **Real GDP growth Feb. forecast** (light orange, solid line)
- **Real GDP growth May forecast** (dark orange, dashed line)

The y-axis represents **probability densities**, so the **highest peak** indicates the distribution with the most concentrated probability around its mean — i.e., the highest density value.

Visually inspecting the chart:

- The **HICP inflation Feb. forecast** (light blue solid line) has a very sharp, tall peak centered around **2.0% inflation**, reaching a density of approximately **4.0**.
- The **HICP inflation May forecast** (dark blue dashed) is slightly lower and wider, peaking around **3.5–3.7**.
- The **GDP growth forecasts** (orange lines) have much lower peaks — around **2.0–2.5** at most.

Thus, the **HICP inflation Feb. forecast** (light blue solid line) clearly has the **highest peak density**.

---

✅ **Answer: HICP inflation Feb. forecast**",mixed,hard,hs_0018__q2,hardset; ECB; charts17.png,https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/hs_0018.png,hardset,train,max_min,true
"Between Q3 and Q4, did revenue increase or decrease?",Increased,,"Between Q3 and Q4, revenue **increased**.

- Q3 revenue: **$33,700**
- Q4 revenue: **$35,200**

The increase is:  
**$35,200 - $33,700 = $1,500**

So, revenue rose by $1,500 from Q3 to Q4.",line,easy,syn_line_0177__q3,"annotated line; procedural gen (seed=43, idx=77, trend=up)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0177.png,synthetic,train,trend_direction,true
By how much does Manufacturing's revenue exceed Media's?,$600,,"From the bar chart:

- **Manufacturing** revenue = **$6,700**
- **Media** revenue = **$6,100**

To find how much Manufacturing exceeds Media:

**$6,700 - $6,100 = $600**

✅ **Answer: $600**",bar,medium,syn_bar_0142__q3,"annotated bars; procedural gen (seed=42, idx=42)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_bar_0142.png,synthetic,train,delta_absolute,true
What share of budget did Support represent?,6.2%,,"Based on the provided pie chart titled ""Budget by Department"", we can determine the share of the budget for each department.

The slice corresponding to the **Support** department is colored red and has a percentage value labeled on it.

According to the chart, the Support department represents **6.2%** of the total budget.",pie,easy,syn_pie_0179__q1,"annotated pie; procedural gen (seed=46, idx=79)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0179.png,synthetic,train,lookup_value,true
How much total revenue did LATAM generate?,$5400,,"To calculate the **total revenue for LATAM**, we sum the revenues from each product category in that region:

- **Software**: $1900  
- **Services**: $1000  
- **Hardware**: $2500  

**Total = 1900 + 1000 + 2500 = $5400**

✅ **Answer: $5400**",stacked_bar,medium,syn_stacked_0135__q3,"annotated stacked bars; procedural gen (seed=45, idx=35)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_stacked_0135.png,synthetic,train,aggregation_sum_avg,true
Rank the bottom 3 categories by share of sales.,"Software, Consulting, Services",,"Looking at the pie chart “Sales Mix”, we can extract the percentage share for each category:

- **Subscriptions**: 24.9%
- **Hardware**: 23.8%
- **Services**: 23.8%
- **Consulting**: 21.2%
- **Software**: 6.3%

To rank the **bottom 3 categories by share of sales**, we sort them from smallest to largest and take the three lowest:

1. **Software** — 6.3% (lowest)
2. **Consulting** — 21.2%
3. **Hardware** and **Services** are tied at 23.8%, but since we need only 3, and Hardware appears first alphabetically or by position in the chart, we’ll include **Hardware** as third (though Services is equal).

However, since **Hardware** and **Services** are tied, and both are higher than Consulting, the true bottom 3 are:

✅ **Software (6.3%)**  
✅ **Consulting (21.2%)**  
✅ **Hardware (23.8%)** — *or Services, but we pick one to complete the top 3 lowest*

But wait — actually, **Hardware and Services are both 23.8%**, which is higher than Consulting’s 21.2%. So the correct ordering from lowest to highest is:

1. Software — 6.3%  
2. Consulting — 21.2%  
3. Hardware — 23.8%  
4. Services — 23.8%  
5. Subscriptions — 24.9%

So the **bottom 3** (i.e., the three with the smallest shares) are:

> **1. Software (6.3%)**  
> **2. Consulting (21.2%)**  
> **3. Hardware (23.8%)**

*(Note: Since Hardware and Services are tied, either could be ranked 3rd — but typically in such cases, you list both if allowed, or break ties arbitrarily. Since the question asks for 3, we pick Hardware as the third based on its position in the chart or alphabetical order.)*

---

✅ Final Answer:

**Bottom 3 categories by share of sales:**

1. **Software** — 6.3%  
2. **Consulting** — 21.2%  
3. **Hardware** — 23.8%",pie,medium,syn_pie_0166__q4,"annotated pie; procedural gen (seed=46, idx=66)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_pie_0166.png,synthetic,train,rank_order,true
"Between Jan and Feb, did users increase or decrease?",Decreased,,"Between **January** and **February**, the number of monthly active users **decreased**.

- **January**: 21,400 users  
- **February**: 18,800 users  

That’s a drop of **2,600 users**.

✅ So, users **decreased** from Jan to Feb.",line,easy,syn_line_0178__q3,"annotated line; procedural gen (seed=43, idx=78, trend=down)",https://huggingface.co/datasets/vinod-anbalagan/adaption-charts-p2-gold/resolve/main/images/syn_line_0178.png,synthetic,train,trend_direction,true
